name,id,objective,speed,state,living_place.id,working_place.id,start_work,end_work,location.x,location.y
People0,0,working,2.395000205834464,1,212,194,5,18,485.93481242847076,586.8774911588846
People1,1,working,2.451837334705444,2,156,129,8,19,1669.4015048367876,367.55992401381667
People2,2,working,2.0135841518351367,2,191,31,5,19,889.6907497174263,1458.2383467584766
People3,3,working,1.7707995252008355,1,193,122,7,18,1263.842495691111,1085.9499457838497
People4,4,working,3.6627510650120705,1,98,119,8,17,1432.8277895735955,1331.402578832532
People5,5,working,3.530394593910945,1,149,10,7,17,1775.7821779172218,643.0881228524831
People6,6,working,0.854787994058294,1,246,78,5,19,1777.264071827783,442.0725877238619
People7,7,working,1.1091434161212133,2,243,56,7,17,1833.3691411640255,1325.9317562814183
People8,8,working,2.2289361666038894,2,85,222,8,18,781.873252045702,830.2370504064163
People9,9,working,1.0685766467525943,1,22,1,6,16,1290.576986809958,939.2627438264757
People10,10,working,3.4563329642742224,0,88,62,7,17,811.3036377962517,1907.7991359191828
People11,11,working,2.8308936027973823,0,65,117,5,17,997.3306011794034,1427.851797005793
People12,12,working,1.3693673944549178,0,107,67,7,19,1298.0517794227785,845.669058683182
People13,13,working,0.9978094710496433,0,153,253,5,16,905.5362033804153,756.6810450545853
People14,14,working,2.9989381628260756,0,224,252,7,19,930.7902983963475,752.5973285247852
People15,15,working,1.5243096122260524,0,227,96,6,17,1203.2226246692624,766.9480023257396
People16,16,working,3.234558413115638,0,151,73,6,17,1811.1012804952318,522.3882821605587
People17,17,working,2.851032660689755,0,87,205,6,19,1674.6517207257104,1540.0203342341595
People18,18,working,1.9327655200166598,0,132,141,6,16,1325.350400557455,813.3953238698872
People19,19,working,3.2378621394092337,0,197,226,6,19,918.8954292733775,745.2557213890875
